epoch,global_step,step,train/accuracy,train/dice,train/loss_epoch,train/loss_step,train/precision,train/recall,val/accuracy,val/dice,val/loss,val/precision,val/recall
0,3.0,3,,,,0.6504424810409546,,,,,,,
0,7.0,7,,,,0.6532711386680603,,,,,,,
0,11.0,11,,,,0.607812762260437,,,,,,,
0,,12,,,,,,,0.8796752691268921,0.237885519862175,0.6748988032341003,1.0,0.22035184502601624
0,,12,0.8368676900863647,0.7051358819007874,0.6592419147491455,,0.6686504483222961,0.846760094165802,,,,,
1,15.0,15,,,,0.6180190443992615,,,,,,,
1,19.0,19,,,,0.6040452718734741,,,,,,,
1,23.0,23,,,,0.575445294380188,,,,,,,
1,,25,,,,,,,0.991650402545929,0.968799889087677,0.6287986040115356,0.9582115411758423,0.9873046875
1,,25,0.9850073456764221,0.9434973001480103,0.6052653193473816,,0.9474497437477112,0.9646532535552979,,,,,
2,27.0,27,,,,0.5782967805862427,,,,,,,
2,31.0,31,,,,0.6105825901031494,,,,,,,
2,35.0,35,,,,0.5804175138473511,,,,,,,
2,,38,,,,,,,0.995739758014679,0.9833758473396301,0.6262704133987427,0.9788932800292969,0.9931974411010742
2,,38,0.9862280488014221,0.9464389681816101,0.60056072473526,,0.9284533858299255,0.9867811799049377,,,,,
3,39.0,39,,,,0.5951387882232666,,,,,,,
3,43.0,43,,,,0.5884730219841003,,,,,,,
3,47.0,47,,,,0.6209511756896973,,,,,,,
3,51.0,51,,,,0.5643242597579956,,,,,,,
3,,51,,,,,,,0.995495617389679,0.9835306406021118,0.6142622828483582,0.9773250818252563,0.993259608745575
3,,51,0.9865673780441284,0.9545558094978333,0.5980027914047241,,0.9345365166664124,0.9891137480735779,,,,,
4,55.0,55,,,,0.583837628364563,,,,,,,
4,59.0,59,,,,0.6010414361953735,,,,,,,
4,63.0,63,,,,0.5948224067687988,,,,,,,
4,,64,,,,,,,0.995288074016571,0.98236083984375,0.6112951636314392,0.9761923551559448,0.9930075407028198
4,,64,0.9880932569503784,0.9594247937202454,0.5936071276664734,,0.9500477313995361,0.985049843788147,,,,,
5,67.0,67,,,,0.5616573095321655,,,,,,,
5,71.0,71,,,,0.6278609037399292,,,,,,,
5,75.0,75,,,,0.6094528436660767,,,,,,,
5,,77,,,,,,,0.9955199956893921,0.9833442568778992,0.6102815270423889,0.9775458574295044,0.9931632876396179
5,,77,0.9877002239227295,0.9539117217063904,0.5952465534210205,,0.9431410431861877,0.9859079718589783,,,,,
6,79.0,79,,,,0.5872278213500977,,,,,,,
6,83.0,83,,,,0.5713539123535156,,,,,,,
6,87.0,87,,,,0.6031103730201721,,,,,,,
6,,90,,,,,,,0.9952758550643921,0.982254683971405,0.608879029750824,0.975287139415741,0.9938763380050659
6,,90,0.987744152545929,0.9580195546150208,0.5936390161514282,,0.9461619853973389,0.984962522983551,,,,,
7,91.0,91,,,,0.5837399959564209,,,,,,,
7,95.0,95,,,,0.5959982872009277,,,,,,,
7,99.0,99,,,,0.6041542291641235,,,,,,,
7,103.0,103,,,,0.6327394247055054,,,,,,,
7,,103,,,,,,,0.995043933391571,0.9810611605644226,0.6082292795181274,0.9734543561935425,0.9942657351493835
7,,103,0.9878198504447937,0.9569045305252075,0.5909568667411804,,0.9451094269752502,0.9875540733337402,,,,,
8,107.0,107,,,,0.5680930614471436,,,,,,,
8,111.0,111,,,,0.5960073471069336,,,,,,,
8,115.0,115,,,,0.5803070068359375,,,,,,,
8,,116,,,,,,,0.9961913824081421,0.9848031997680664,0.6098223924636841,0.9833167791366577,0.9915778040885925
8,,116,0.9888720512390137,0.9589847326278687,0.591128945350647,,0.9496378898620605,0.9883279204368591,,,,,
9,119.0,119,,,,0.5801128149032593,,,,,,,
9,123.0,123,,,,0.583431601524353,,,,,,,
9,127.0,127,,,,0.6034760475158691,,,,,,,
9,,129,,,,,,,0.996105968952179,0.9846974611282349,0.6093267798423767,0.9825644493103027,0.9917930364608765
9,,129,0.98748779296875,0.9487842321395874,0.5900704860687256,,0.9464663863182068,0.9862864017486572,,,,,
